humidity,temp,dewSpread,cloudLow,cloudMid,cloudHigh,cloudTotal,wind,pressure,precip24,precip48,precipToday,wetThenClear,nightCloudHigh,nightCloudTotal,nightCloudLow,nightCooling,windDir,humidityNight,humidityRise,elevation,month,label,date,lat,lon,source
62.5,-10.05,5.875,0,1,100,100,7.324999999999999,1034.3,0,0,0,0,53.8,53.8,0,2.8666666666666663,12,66.2,-3.700000000000003,1864,12,1,2024-12-22,30.13,118.17,xhs-search
73.25,-9.425,3.9249999999999994,0.25,48.25,4,48.75,0.6749999999999999,1030.55,1.1,7.099999999999998,0,1,1.8,87.6,7.8,0.15000000000000036,252,84.8,-11.549999999999997,3077,12,1,2024-12-15,29.52,103.33,xhs-search
84.75,2.9749999999999996,2.375,100,0,0,100,6.175,1015.9,0,0,0,0,0,100,100,2.1333333333333337,70,85.6,-0.8499999999999943,3660,12,1,2024-12-01,29.66,102.35,xhs-search
94.25,0.7250000000000001,0.8500000000000001,13.75,25.25,23.25,53.5,7.4,1025.375,0.9,0.9,6.2,0,11,47,15.8,2.5333333333333328,116,94.6,-0.3499999999999943,1817,11,1,2024-11-24,28.91,118.06,xhs-search
99.5,8.275,0.04999999999999982,100,83.5,0,100,12.149999999999999,1021.7749999999999,2.1,6.499999999999998,7.599999999999997,0,0,100,100,1.3333333333333321,17,99.6,-0.09999999999999432,1864,11,1,2024-11-17,30.13,118.17,xhs-search
81.5,15.175,3.1250000000000004,0.25,54,0,54.25,2.7749999999999995,1020.7,0,0,0,0,55.2,100,0.8,1.8500000000000014,67,81,0.5,1918,11,1,2024-11-10,27.51,114.15,xhs-search
78.25,6.699999999999999,3.5,0,0,0,0,9.8,1021.525,0,0.1,0,0,0,0,0,0.6666666666666679,180,75.4,2.8499999999999943,1545,11,1,2024-11-03,36.25,117.1,xhs-search
97.5,11.774999999999999,0.3500000000000001,100,100,25,100,7.375,1017.025,1.5000000000000002,1.5000000000000002,5,0,96.2,100,100,0.5166666666666675,354,95.2,2.299999999999997,1474,10,1,2024-10-27,29.56,115.97,xhs-search
86.25,10.274999999999999,2.25,100,21.75,22.25,100,4.6,1021,11.299999999999997,14.999999999999998,2.7,0,0,100,100,3.166666666666666,64,91,-4.75,3660,10,1,2024-10-20,29.66,102.35,xhs-search
93.5,11.850000000000001,1.0250000000000004,11,56.25,13.75,68.5,6.825,1019.825,0,0,1.7000000000000002,0,0.2,64.2,7.4,1.1500000000000021,149,90.8,2.700000000000003,1864,10,1,2024-10-13,30.13,118.17,xhs-search
